Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,note,Output
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\deployment.yaml,Helm,1.0,0.0,,,,,,,,,,,,
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\pdb.yaml,Helm,,0.0,,,,,,,,,,,,
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\rbac.yaml,Helm,,0.0,,,,,,,,,,,,
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\serviceaccount.yaml,Helm,,0.0,,,,,,,,,,,,
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\alertmanager-secret.yaml,,,0.0,,,,,,,,,,,,"kubernetes scan results:

Passed checks: 1, Failed checks: 0, Skipped checks: 0"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\alertmanager-serviceAccount.yaml,,,0.0,,,,,,,,,,,,"kubernetes scan results:

Passed checks: 2, Failed checks: 0, Skipped checks: 0"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-config.yaml,,,0.0,,,,,,,,,,,,"kubernetes scan results:

Passed checks: 1, Failed checks: 0, Skipped checks: 0"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardDatasources.yaml,,,0.0,,,,,,,,,,,,"kubernetes scan results:

Passed checks: 1, Failed checks: 0, Skipped checks: 0"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardDefinitions.yaml,,,0.0,,,,,,,,,,,,
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardSources.yaml,,,0.0,,,,,,,,,,,,"kubernetes scan results:

Passed checks: 1, Failed checks: 0, Skipped checks: 0"
