Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,note,Output
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml,,1,1,,,,1,,,,,,,,"KubeLinter 0.7.2

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) The container ""manager"" is using an invalid container image, """". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""] (check: latest-tag, remediation: Use a container image with a specific tag other than latest.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) object has no selector specified (check: mismatching-selector, remediation: Confirm that your deployment selector correctly matches the labels in its pod template.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""kube-rbac-proxy"" does not have a read-only root file system (check: no-read-only-root-fs, remediation: Set readOnlyRootFilesystem to true in the container securityContext.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" does not have a read-only root file system (check: no-read-only-root-fs, remediation: Set readOnlyRootFilesystem to true in the container securityContext.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""kube-rbac-proxy"" is not set to runAsNonRoot (check: run-as-non-root, remediation: Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" is not set to runAsNonRoot (check: run-as-non-root, remediation: Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""kube-rbac-proxy"" has cpu request 0 (check: unset-cpu-requirements, remediation: Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" has cpu request 0 (check: unset-cpu-requirements, remediation: Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""kube-rbac-proxy"" has memory limit 0 (check: unset-memory-requirements, remediation: Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" has memory limit 0 (check: unset-memory-requirements, remediation: Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_webhook_patch.yaml,,1,1,,,,1,,,,,,,,"KubeLinter 0.7.2

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) The container ""manager"" is using an invalid container image, """". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""] (check: latest-tag, remediation: Use a container image with a specific tag other than latest.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) object has no selector specified (check: mismatching-selector, remediation: Confirm that your deployment selector correctly matches the labels in its pod template.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" does not have a read-only root file system (check: no-read-only-root-fs, remediation: Set readOnlyRootFilesystem to true in the container securityContext.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" is not set to runAsNonRoot (check: run-as-non-root, remediation: Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" has cpu request 0 (check: unset-cpu-requirements, remediation: Set CPU requests for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\default\manager_webhook_patch.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" has memory limit 0 (check: unset-memory-requirements, remediation: Set memory limits for your container based on its requirements. Refer to https://kubernetes.io/docs/concepts/configuration/manage-resources-containers/#requests-and-limits for details.)"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\manager\manager.yaml,,1,0,,,,,,,,,,,,"KubeLinter 0.7.2

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\manager\manager.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) The container ""manager"" is using an invalid container image, ""controller:latest"". Please use images that are not blocked by the `BlockList` criteria : ["".*:(latest)$"" ""^[^:]*$"" ""(.*/[^:]+)$""] (check: latest-tag, remediation: Use a container image with a specific tag other than latest.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\manager\manager.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" does not have a read-only root file system (check: no-read-only-root-fs, remediation: Set readOnlyRootFilesystem to true in the container securityContext.)

D:\PhD\Research\K8s-config-bugs_FSE25\final_repo_list\repos\mysql-operator\config\manager\manager.yaml: (object: system/controller-manager apps/v1, Kind=Deployment) container ""manager"" is not set to runAsNonRoot (check: run-as-non-root, remediation: Set runAsUser to a non-zero number and runAsNonRoot to true in your pod or container securityContext. Refer to https://kubernetes.io/docs/tasks/configure-pod-container/security-context/ for details.)"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_client_clusterrole.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role_binding.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role_binding.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_editor_role.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_viewer_role.yaml,,,0,,,,,,,,,,,,"KubeLinter 0.7.2

No lint errors found!"
