Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,Output,RunTime
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mysql-operator\\config\\default\\manager_auth_proxy_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",2679.35875082016s
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_webhook_patch.yaml,,1,1,,,,1,,,,,,,"{'file_name': 'D:\\PhD\\Research\\K8s-config-bugs_FSE25\\final_repo_list\\repos\\mysql-operator\\config\\default\\manager_webhook_patch.yaml', 'detected_dangerous_patterns_summary': ['ATTACK4_DOS_CPU_MEMORY'], 'details': {'ATTACK4_DOS_CPU_MEMORY': {'reason': 'With these configuration parameter combinations, the attacks exploit the absence of CPU or memory limits to consume excessive resources and cause Denial of Service (DoS).', 'dangerous_configuration_key_combinations': {'securityContext': {'runAsUser': 0, 'readOnlyRootFileSystem': 'false', 'runAsNonRoot': 'false'}, 'resources': {'limits': 'missing'}}}}}",
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\manager\manager.yaml,,1,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_client_clusterrole.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role_binding.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role_binding.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_editor_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_viewer_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlcluster_editor_role.yaml,,,0,,,,,,,,,,,,
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlcluster_viewer_role.yaml,,,0,,,,,,,,,,,,
