Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,note,Output
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_auth_proxy_patch.yaml,,1.0,1,,,,1.0,,,,,,,,"AVD-KSV-0001 (MEDIUM): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'securityContext.allowPrivilegeEscalation' to false
AVD-KSV-0001 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.allowPrivilegeEscalation' to false
AVD-KSV-0003 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should add 'ALL' to 'securityContext.capabilities.drop'
AVD-KSV-0003 (LOW): Container 'manager' of Deployment 'controller-manager' should add 'ALL' to 'securityContext.capabilities.drop'
AVD-KSV-0011 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'resources.limits.cpu'
AVD-KSV-0011 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.limits.cpu'
AVD-KSV-0012 (MEDIUM): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'securityContext.runAsNonRoot' to true
AVD-KSV-0012 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsNonRoot' to true
AVD-KSV-0013 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should specify an image tag
AVD-KSV-0014 (HIGH): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'securityContext.readOnlyRootFilesystem' to true
AVD-KSV-0014 (HIGH): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.readOnlyRootFilesystem' to true
AVD-KSV-0015 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'resources.requests.cpu'
AVD-KSV-0015 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.requests.cpu'
AVD-KSV-0016 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'resources.requests.memory'
AVD-KSV-0016 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.requests.memory'
AVD-KSV-0018 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'resources.limits.memory'
AVD-KSV-0018 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.limits.memory'
AVD-KSV-0020 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'securityContext.runAsUser' > 10000
AVD-KSV-0020 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsUser' > 10000
AVD-KSV-0021 (LOW): Container 'kube-rbac-proxy' of Deployment 'controller-manager' should set 'securityContext.runAsGroup' > 10000
AVD-KSV-0021 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsGroup' > 10000
AVD-KSV-0030 (LOW): Either Pod or Container should set 'securityContext.seccompProfile.type' to 'RuntimeDefault'
AVD-KSV-0030 (LOW): Either Pod or Container should set 'securityContext.seccompProfile.type' to 'RuntimeDefault'
AVD-KSV-0104 (MEDIUM): container ""kube-rbac-proxy"" of deployment ""controller-manager"" in ""system"" namespace should specify a seccomp profile
AVD-KSV-0104 (MEDIUM): container ""manager"" of deployment ""controller-manager"" in ""system"" namespace should specify a seccomp profile
AVD-KSV-0106 (LOW): container should drop all
AVD-KSV-0106 (LOW): container should drop all
AVD-KSV-0118 (HIGH): container controller-manager in system namespace is using the default security context"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\default\manager_webhook_patch.yaml,,1.0,1,,,,1.0,,,,,,,,"AVD-KSV-0001 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.allowPrivilegeEscalation' to false
AVD-KSV-0003 (LOW): Container 'manager' of Deployment 'controller-manager' should add 'ALL' to 'securityContext.capabilities.drop'
AVD-KSV-0011 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.limits.cpu'
AVD-KSV-0012 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsNonRoot' to true
AVD-KSV-0013 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should specify an image tag
AVD-KSV-0014 (HIGH): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.readOnlyRootFilesystem' to true
AVD-KSV-0015 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.requests.cpu'
AVD-KSV-0016 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.requests.memory'
AVD-KSV-0018 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'resources.limits.memory'
AVD-KSV-0020 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsUser' > 10000
AVD-KSV-0021 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsGroup' > 10000
AVD-KSV-0030 (LOW): Either Pod or Container should set 'securityContext.seccompProfile.type' to 'RuntimeDefault'
AVD-KSV-0104 (MEDIUM): container ""manager"" of deployment ""controller-manager"" in ""system"" namespace should specify a seccomp profile
AVD-KSV-0106 (LOW): container should drop all
AVD-KSV-0118 (HIGH): container controller-manager in system namespace is using the default security context"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\manager\manager.yaml,,1.0,0,,,,,,,,,,,,"AVD-KSV-0001 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.allowPrivilegeEscalation' to false
AVD-KSV-0003 (LOW): Container 'manager' of Deployment 'controller-manager' should add 'ALL' to 'securityContext.capabilities.drop'
AVD-KSV-0012 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsNonRoot' to true
AVD-KSV-0013 (MEDIUM): Container 'manager' of Deployment 'controller-manager' should specify an image tag
AVD-KSV-0014 (HIGH): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.readOnlyRootFilesystem' to true
AVD-KSV-0020 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsUser' > 10000
AVD-KSV-0021 (LOW): Container 'manager' of Deployment 'controller-manager' should set 'securityContext.runAsGroup' > 10000
AVD-KSV-0030 (LOW): Either Pod or Container should set 'securityContext.seccompProfile.type' to 'RuntimeDefault'
AVD-KSV-0104 (MEDIUM): container ""manager"" of deployment ""controller-manager"" in ""system"" namespace should specify a seccomp profile
AVD-KSV-0106 (LOW): container should drop all
AVD-KSV-0118 (HIGH): container controller-manager in system namespace is using the default security context"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_client_clusterrole.yaml,,,0,,,,,,,,,,,,No relevant issues found
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role.yaml,,,0,,,,,,,,,,,,No relevant issues found
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\auth_proxy_role_binding.yaml,,,0,,,,,,,,,,,,No relevant issues found
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role.yaml,,,0,,,,,,,,,,,,"AVD-KSV-0049 (MEDIUM): Role 'leader-election-role' should not have access to resource 'configmaps' for verbs [""create"", ""update"", ""patch"", ""delete"", ""deletecollection"", ""impersonate"", ""*""]"
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\leader_election_role_binding.yaml,,,0,,,,,,,,,,,,No relevant issues found
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_editor_role.yaml,,,0,,,,,,,,,,,,No relevant issues found
mysql-operator,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\mysql-operator\config\rbac\mysqlbackup_viewer_role.yaml,,,0,,,,,,,,,,,,No relevant issues found
