Repo Name,File Path,File Type,IsPod,IfSecurityAttackExist,Attack#1,Attack#2,Attack#3,Attack#4,Attack#5,Attack#6,Attack#7,Attack#8,Attack#9,Attack#10,note,Output
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\deployment.yaml,Helm,1.0,0.0,,,,,,,,,,,,No relevant issues found
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\pdb.yaml,Helm,,0.0,,,,,,,,,,,,No relevant issues found
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\rbac.yaml,Helm,,0.0,,,,,,,,,,,,No relevant issues found
kubernetes-external-secrets,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\kubernetes-external-secrets\charts\kubernetes-external-secrets\templates\serviceaccount.yaml,Helm,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\alertmanager-secret.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\alertmanager-serviceAccount.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-config.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardDatasources.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardDefinitions.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-dashboardSources.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-deployment.yaml,,1.0,0.0,,,,,,,,,,,,"AVD-KSV-0001 (MEDIUM): Container 'grafana' of Deployment 'grafana' should set 'securityContext.allowPrivilegeEscalation' to false
AVD-KSV-0003 (LOW): Container 'grafana' of Deployment 'grafana' should add 'ALL' to 'securityContext.capabilities.drop'
AVD-KSV-0014 (HIGH): Container 'grafana' of Deployment 'grafana' should set 'securityContext.readOnlyRootFilesystem' to true
AVD-KSV-0021 (LOW): Container 'grafana' of Deployment 'grafana' should set 'securityContext.runAsGroup' > 10000
AVD-KSV-0030 (LOW): Either Pod or Container should set 'securityContext.seccompProfile.type' to 'RuntimeDefault'
AVD-KSV-0104 (MEDIUM): container ""grafana"" of deployment ""grafana"" in ""monitoring"" namespace should specify a seccomp profile
AVD-KSV-0106 (LOW): container should drop all"
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\grafana-serviceAccount.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\ingress-alertmanager.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\ingress-grafana.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\ingress-prometheus.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\kube-state-metrics-clusterRole.yaml,,,0.0,,,,,,,,,,,,AVD-KSV-0041 (CRITICAL): ClusterRole 'kube-state-metrics' shouldn't have access to manage resource 'secrets'
cluster-monitoring,D:/PhD/Research/K8s-config-bugs_FSE25/final_repo_list/repos\cluster-monitoring\manifests\kube-state-metrics-clusterRoleBinding.yaml,,,0.0,,,,,,,,,,,,No relevant issues found
